Province/State,Date,Cumulative Cases,Cumulative Tests,Daily Cases,Daily Tests,7 day daily case moving average,14 day daily case moving average,7 day daily test moving average,14 day daily test moving average
VIC,2020-08-17,17553,2000787,211,15728,284,350,22062,23077
WA,2020-08-17,719,324859,1,6330,1,0,2995,3159
ACT,2020-08-18,122,66148,0,1197,0,0,985,980
NSW,2020-08-18,4264,1857522,7,13736,7,10,21492,22699
NT,2020-08-18,33,30936,0,328,0,0,365,393
QLD,2020-08-18,1106,711188,1,7727,0,0,7402,11025
SA,2020-08-18,501,310876,0,2998,0,0,4582,5232
TAS,2020-08-18,266,84261,0,342,0,0,644,610
VIC,2020-08-18,17761,2018278,208,17491,257,315,19690,22826
WA,2020-08-18,719,326753,0,1894,1,0,2977,3148
ACT,2020-08-19,122,68654,0,2506,0,0,1236,1112
NSW,2020-08-19,4269,1876936,5,19414,6,10,21393,22508
NT,2020-08-19,33,31332,0,396,0,0,343,388
QLD,2020-08-19,1107,722728,1,11540,1,0,7639,10870
SA,2020-08-19,501,316499,0,5623,0,0,4598,5237
TAS,2020-08-19,266,85045,0,784,0,0,625,628
VIC,2020-08-19,17998,2034387,237,16109,260,301,19145,22263
WA,2020-08-19,723,330263,4,3510,1,1,2973,3152
ACT,2020-08-20,122,69414,0,760,0,0,1178,1047
NSW,2020-08-20,4270,1905703,1,28767,5,9,21986,22560
NT,2020-08-20,33,31750,0,418,0,0,342,379
QLD,2020-08-20,1108,732525,1,9797,0,1,7336,10526
SA,2020-08-20,501,321771,0,5272,0,0,4564,5185
TAS,2020-08-20,266,85853,0,808,0,0,603,613
VIC,2020-08-20,18167,2054666,169,20279,231,285,19049,21925
WA,2020-08-20,723,332498,0,2235,1,1,2880,3088
ACT,2020-08-21,122,70385,0,971,0,0,1144,1101
NSW,2020-08-21,4279,1938283,9,32580,5,9,22398,22892
NT,2020-08-21,33,32099,0,349,0,0,333,364
QLD,2020-08-21,1117,741647,9,9122,2,1,7097,9149
SA,2020-08-21,501,326309,0,4538,0,0,4240,5044
TAS,2020-08-21,266,86437,0,584,0,0,581,600
VIC,2020-08-21,18344,2074992,177,20326,216,268,19252,22448
WA,2020-08-21,723,335177,0,2679,1,1,2968,3098
ACT,2020-08-22,122,71057,0,672,0,0,1069,1113
NSW,2020-08-22,4283,1969093,4,30810,5,9,22887,23348
NT,2020-08-22,33,32239,0,140,0,0,284,338
QLD,2020-08-22,1119,751094,2,9447,2,1,7636,8476
SA,2020-08-22,501,330600,0,4291,0,0,4201,4832
TAS,2020-08-22,266,87428,0,991,0,0,609,624
VIC,2020-08-22,18546,2096338,202,21346,210,255,18978,22187
WA,2020-08-22,724,337856,1,2679,1,1,3056,3066
ACT,2020-08-23,122,71387,0,330,0,0,1090,1096
NSW,2020-08-23,4286,1995573,3,26480,4,8,23228,22977
NT,2020-08-23,33,32442,0,203,0,0,290,329
QLD,2020-08-23,1120,757969,1,6875,2,1,8147,8119
SA,2020-08-23,502,334569,1,3969,0,0,4182,4613
TAS,2020-08-23,266,87734,0,306,0,0,598,626
VIC,2020-08-23,18645,2117085,99,20747,186,241,18861,20710
WA,2020-08-23,725,340535,1,2679,1,1,3144,3033
ACT,2020-08-24,122,71722,0,335,0,0,967,937
NSW,2020-08-24,4289,2016293,3,20720,5,7,24644,23034
NT,2020-08-24,33,32940,0,498,0,0,333,352
QLD,2020-08-24,1121,764803,1,6834,2,1,8763,7997
SA,2020-08-24,502,336374,0,1805,0,0,4071,4421
TAS,2020-08-24,266,88097,0,363,0,0,597,623
VIC,2020-08-24,18779,2131896,134,14811,175,230,18730,20396
WA,2020-08-24,726,346616,1,6081,1,1,3108,3052
ACT,2020-08-25,122,72646,0,924,0,0,928,957
NSW,2020-08-25,4295,2026668,6,10375,4,6,24164,22828
NT,2020-08-25,33,33277,0,337,0,0,334,350
QLD,2020-08-25,1122,772862,1,8059,2,1,8811,8106
SA,2020-08-25,502,339264,0,2890,0,0,4055,4319
TAS,2020-08-25,266,88453,0,356,0,0,599,621
VIC,2020-08-25,18923,2144956,144,13060,166,212,18097,18894
WA,2020-08-25,726,367290,0,20674,1,1,5791,4384
ACT,2020-08-26,122,73597,0,951,0,0,706,971
NSW,2020-08-26,4304,2052542,9,25874,5,6,25087,23240
NT,2020-08-26,33,33739,0,462,0,0,344,344
QLD,2020-08-26,1125,793718,3,20856,3,2,10141,8890
SA,2020-08-26,502,344693,0,5429,0,0,4028,4313
TAS,2020-08-26,266,89390,0,937,0,0,621,623
VIC,2020-08-26,19029,2158436,106,13480,147,204,17721,18433
WA,2020-08-26,726,371004,0,3714,0,1,5820,4397
ACT,2020-08-27,122,74438,0,841,0,0,718,948
NSW,2020-08-27,4317,2082715,13,30173,7,6,25287,23637
NT,2020-08-27,33,34195,0,456,0,0,349,346
QLD,2020-08-27,1128,813498,3,19780,3,2,11568,9452
SA,2020-08-27,502,349883,0,5190,0,0,4016,4290
TAS,2020-08-27,266,90176,0,786,0,0,618,610
VIC,2020-08-27,19137,2183906,108,25470,139,185,18463,18756
WA,2020-08-27,728,374576,2,3572,1,1,6011,4446
ACT,2020-08-28,122,75213,0,775,0,0,690,917
NSW,2020-08-28,4331,2112997,14,30282,7,6,24959,23678
NT,2020-08-28,33,34594,0,399,0,0,356,345
QLD,2020-08-28,1132,835151,4,21653,2,2,13358,10227
SA,2020-08-28,502,354146,0,4263,0,0,3977,4108
TAS,2020-08-28,266,90851,0,675,0,0,631,606
VIC,2020-08-28,19218,2203769,81,19863,125,170,18397,18824
WA,2020-08-28,728,376222,0,1646,1,1,5864,4416
ACT,2020-08-29,122,75924,0,711,0,0,695,882
NSW,2020-08-29,4338,2137629,7,24632,8,6,24077,23482
NT,2020-08-29,33,35003,0,409,0,0,395,339
QLD,2020-08-29,1136,853914,4,18763,2,2,14689,11162
SA,2020-08-29,502,358218,0,4072,0,0,3945,4073
TAS,2020-08-29,266,91705,0,854,0,0,611,610
VIC,2020-08-29,19330,2221883,112,18114,112,161,17935,18456
WA,2020-08-29,728,379936,0,3714,1,1,6011,4534
ACT,2020-08-30,122,76109,0,185,0,0,675,882
NSW,2020-08-30,4348,2157255,10,19626,9,7,23097,23162
NT,2020-08-30,33,35261,0,258,0,0,403,346
QLD,2020-08-30,1137,864472,1,10558,2,2,15215,11681
SA,2020-08-30,502,361329,0,3111,0,0,3823,4003
TAS,2020-08-30,266,92084,0,379,0,0,621,610
VIC,2020-08-30,19395,2236204,65,14321,107,147,17017,17939
WA,2020-08-30,728,383650,0,3714,0,1,6159,4652
ACT,2020-08-31,122,77249,0,1140,0,0,790,878
NSW,2020-08-31,4361,2171487,13,14232,10,7,22171,23407
NT,2020-08-31,33,35482,0,221,0,0,363,348
QLD,2020-08-31,1139,871337,2,6865,3,2,15219,11991
SA,2020-08-31,502,362418,0,1089,0,0,3721,3896
TAS,2020-08-31,266,92510,0,426,0,0,630,614
VIC,2020-08-31,19453,2250644,58,14440,96,136,16964,17847
WA,2020-08-31,728,391461,0,7811,0,1,6406,4757
ACT,2020-09-01,122,78703,0,1454,0,0,865,897
NSW,2020-09-01,4377,2186337,16,14850,12,8,22810,23487
NT,2020-09-01,33,35871,0,389,0,0,371,352
QLD,2020-09-01,1141,878826,2,7489,3,2,15138,11974
SA,2020-09-01,502,365986,0,3568,0,0,3817,3936
TAS,2020-09-01,266,92865,0,355,0,0,630,615
VIC,2020-09-01,19539,2260797,86,10153,88,127,16549,17323
WA,2020-09-01,728,394582,0,3121,0,1,3899,4845
ACT,2020-09-02,122,80355,0,1652,0,0,965,836
NSW,2020-09-02,4389,2206385,12,20048,12,9,21978,23532
NT,2020-09-02,33,36248,0,377,0,0,358,351
QLD,2020-09-02,1143,896977,2,18151,3,3,14751,12446
SA,2020-09-02,502,370850,0,4864,0,0,3737,3882
TAS,2020-09-02,266,93676,0,811,0,0,612,616
VIC,2020-09-02,19651,2274709,112,13912,89,118,16610,17166
WA,2020-09-02,728,398730,0,4148,0,0,3961,4890
ACT,2020-09-03,122,81810,0,1455,0,0,1053,885
NSW,2020-09-03,4397,2235992,8,29607,11,9,21897,23592
NT,2020-09-03,33,36835,0,587,0,0,377,363
QLD,2020-09-03,1145,911250,2,14273,2,3,13965,12766
SA,2020-09-03,502,374856,0,4006,0,0,3568,3792
TAS,2020-09-03,266,94581,0,905,0,0,629,623
VIC,2020-09-03,19730,2357018,79,82309,85,112,24730,21597
WA,2020-09-03,728,401782,0,3052,0,0,3887,4949
ACT,2020-09-04,122,83178,0,1368,0,0,1138,914
NSW,2020-09-04,4402,2259160,5,23168,10,9,20880,22920
NT,2020-09-04,33,37341,0,506,0,0,392,374
QLD,2020-09-04,1146,925028,1,13778,2,2,12840,13099
SA,2020-09-04,502,378819,0,3963,0,0,3525,3751
TAS,2020-09-04,266,94932,0,351,0,0,583,607
VIC,2020-09-04,19794,2382049,64,25031,82,104,25469,21933
WA,2020-09-04,728,404578,0,2796,0,0,4051,4957
ACT,2020-09-05,122,84377,0,1199,0,0,1208,951
NSW,2020-09-05,4412,2289500,10,30340,11,9,21696,22886
NT,2020-09-05,33,37855,0,514,0,0,407,401
QLD,2020-09-05,1148,936541,2,11513,2,2,11804,13246
SA,2020-09-05,503,382224,1,3405,0,0,3429,3687
TAS,2020-09-05,266,95979,0,1047,0,0,611,611
VIC,2020-09-05,19853,2397869,59,15820,75,93,25141,21538
WA,2020-09-05,728,407699,0,3121,0,0,3966,4989
ACT,2020-09-06,122,84733,0,356,0,0,1232,953
NSW,2020-09-06,4416,2328026,4,38526,10,9,24396,23747
NT,2020-09-06,33,38063,0,208,0,0,400,402
QLD,2020-09-06,1150,942603,2,6062,2,2,11162,13188
SA,2020-09-06,503,384804,0,2580,0,0,3354,3588
TAS,2020-09-06,266,96469,0,490,0,0,626,624
VIC,2020-09-06,19889,2416207,36,18338,71,89,25715,21366
WA,2020-09-06,729,410773,1,3074,0,0,3875,5017
ACT,2020-09-07,122,84981,0,248,0,0,1105,947
NSW,2020-09-07,4424,2338155,8,10129,9,10,23810,22990
NT,2020-09-07,33,38428,0,365,0,0,421,392
QLD,2020-09-07,1151,946757,1,4154,2,2,10774,12997
SA,2020-09-07,503,386238,0,1434,0,0,3403,3562
TAS,2020-09-07,266,96754,0,285,0,0,606,618
VIC,2020-09-07,19930,2429145,41,12938,68,82,25500,21232
WA,2020-09-07,731,417306,2,6533,0,0,3692,5049
ACT,2020-09-08,122,85375,0,394,0,0,953,909
NSW,2020-09-08,4433,2350649,9,12494,8,10,23473,23142
NT,2020-09-08,33,38822,0,394,0,0,422,396
QLD,2020-09-08,1160,954417,9,7660,3,3,10799,12968
SA,2020-09-08,504,389730,1,3492,0,0,3392,3605
TAS,2020-09-08,266,97313,0,559,0,0,635,633
VIC,2020-09-08,20003,2437849,73,8704,66,77,25293,20921
WA,2020-09-08,731,420572,0,3266,0,0,3713,3806
ACT,2020-09-09,122,86185,0,810,0,0,833,899
NSW,2020-09-09,4440,2371501,7,20852,7,10,23588,22783
NT,2020-09-09,33,39143,0,321,0,0,414,386
QLD,2020-09-09,1162,966492,2,12075,3,3,9931,12341
SA,2020-09-09,504,394213,0,4483,0,0,3338,3537
TAS,2020-09-09,266,97948,0,635,0,0,610,611
VIC,2020-09-09,20054,2454535,51,16686,58,73,25689,21150
WA,2020-09-09,732,423646,1,3074,1,0,3559,3760
ACT,2020-09-10,122,86920,0,735,0,0,730,892
NSW,2020-09-10,4450,2396261,10,24760,8,10,22896,22396
NT,2020-09-10,33,39653,0,510,0,0,403,390
QLD,2020-09-10,1164,976632,2,10140,3,3,9340,11652
SA,2020-09-10,504,398139,0,3926,0,0,3326,3447
TAS,2020-09-10,266,98464,0,516,0,0,555,592
VIC,2020-09-10,20082,2469340,28,14805,50,68,16046,20388
WA,2020-09-10,732,428352,0,4706,1,0,3796,3841
ACT,2020-09-11,122,87492,0,572,0,0,616,877
NSW,2020-09-11,4455,2446201,5,49940,8,9,26720,23800
NT,2020-09-11,33,40037,0,384,0,0,385,389
QLD,2020-09-11,1168,985848,4,9216,3,3,8689,10764
SA,2020-09-11,505,401416,1,3277,0,0,3228,3376
TAS,2020-09-11,266,99083,0,619,0,0,593,588
VIC,2020-09-11,20115,2482681,33,13341,46,64,14376,19922
WA,2020-09-11,732,429725,0,1373,1,0,3592,3822
ACT,2020-09-12,122,88059,0,567,0,0,526,867
NSW,2020-09-12,4464,2466412,9,20211,7,9,25273,23484
NT,2020-09-12,33,40599,0,562,0,0,392,400
QLD,2020-09-12,1168,993513,0,7665,3,2,8139,9971
SA,2020-09-12,505,405332,0,3916,0,0,3301,3365
TAS,2020-09-12,266,99711,0,628,0,0,533,572
VIC,2020-09-12,20150,2497134,35,14453,42,59,14181,19661
WA,2020-09-12,732,432991,0,3266,1,0,3613,3790
ACT,2020-09-13,122,88356,0,297,0,0,518,875
NSW,2020-09-13,4468,2480838,4,14426,7,9,21830,23113
NT,2020-09-13,33,40836,0,237,0,0,396,398
QLD,2020-09-13,1168,998446,0,4933,3,2,7978,9570
SA,2020-09-13,505,407770,0,2438,0,0,3281,3317
TAS,2020-09-13,266,99919,0,208,0,0,493,560
VIC,2020-09-13,20187,2514530,37,17396,43,57,14046,19880
WA,2020-09-13,732,436257,0,3266,0,0,3641,3758
ACT,2020-09-14,122,88599,0,243,0,0,517,811
NSW,2020-09-14,4475,2490154,7,9316,7,8,21714,22762
NT,2020-09-14,33,41145,0,309,0,0,388,404
QLD,2020-09-14,1168,1001380,0,2934,2,2,7803,9289
SA,2020-09-14,505,409219,0,1449,0,0,3283,3343
TAS,2020-09-14,266,100359,0,440,0,0,515,561
VIC,2020-09-14,20226,2523467,39,8937,42,55,13475,19487
WA,2020-09-14,732,443575,0,7318,0,0,3753,3722
ACT,2020-09-15,122,89143,0,544,0,0,538,746
NSW,2020-09-15,4483,2498989,8,8835,7,8,21191,22332
NT,2020-09-15,33,41445,0,300,0,0,375,398
QLD,2020-09-15,1168,1006313,0,4933,1,2,7414,9106
SA,2020-09-15,505,411873,0,2654,0,0,3163,3278
TAS,2020-09-15,266,100894,0,535,0,0,512,574
VIC,2020-09-15,20258,2532270,32,8803,36,51,13489,19391
WA,2020-09-15,732,446587,0,3012,0,0,3716,3715
ACT,2020-09-16,122,89491,0,348,0,0,472,653
NSW,2020-09-16,4488,2518555,5,19566,7,7,21008,22298
NT,2020-09-16,33,41911,0,466,0,0,395,404
QLD,2020-09-16,1169,1012737,1,6424,1,2,6606,8269
SA,2020-09-16,505,415150,0,3277,0,0,2991,3164
TAS,2020-09-16,266,101511,0,617,0,0,509,560
VIC,2020-09-16,20285,2546644,27,14374,33,45,13158,19424
WA,2020-09-16,734,449247,2,2660,0,0,3657,3608
ACT,2020-09-17,122,89899,0,408,0,0,426,578
NSW,2020-09-17,4494,2538966,6,20411,6,7,20386,21641
NT,2020-09-17,33,42707,0,796,0,0,436,419
QLD,2020-09-17,1169,1024380,0,11643,1,2,6821,8081
SA,2020-09-17,505,418721,0,3571,0,0,2940,3133
TAS,2020-09-17,266,102157,0,646,0,0,528,541
VIC,2020-09-17,20327,2560891,42,14247,35,43,13079,14562
WA,2020-09-17,734,451882,0,2635,0,0,3361,3579
ACT,2020-09-18,122,90363,0,464,0,0,410,513
NSW,2020-09-18,4496,2555809,2,16843,6,7,15658,21189
NT,2020-09-18,33,42932,0,225,0,0,414,399
QLD,2020-09-18,1169,1030131,0,5751,0,2,6326,7507
SA,2020-09-18,505,422062,0,3341,0,0,2949,3089
TAS,2020-09-18,266,102551,0,394,0,0,495,544
VIC,2020-09-18,20349,2576801,22,15910,33,40,13446,13911
WA,2020-09-18,734,454376,0,2494,0,0,3522,3557
ACT,2020-09-19,122,90808,0,445,0,0,393,459
NSW,2020-09-19,4498,2571048,2,15239,5,6,14948,20111
NT,2020-09-19,33,43398,0,466,0,0,400,396
QLD,2020-09-19,1171,1036928,2,6797,0,2,6202,7170
SA,2020-09-19,505,425439,0,3377,0,0,2872,3087
TAS,2020-09-19,266,103325,0,774,0,0,516,525
VIC,2020-09-19,20357,2588753,8,11952,30,36,13088,13635
WA,2020-09-19,735,457036,1,2660,0,0,3435,3524
ACT,2020-09-20,122,91103,0,295,0,0,392,455
NSW,2020-09-20,4502,2584683,4,13635,5,6,14835,18333
NT,2020-09-20,33,43642,0,244,0,0,401,398
QLD,2020-09-20,1172,1040626,1,3698,1,2,6026,7002
SA,2020-09-20,505,427864,0,2425,0,0,2871,3076
TAS,2020-09-20,266,103606,0,281,0,0,527,510
VIC,2020-09-20,20366,2601214,9,12461,26,34,12383,13215
WA,2020-09-20,736,459671,1,2635,1,0,3345,3493
ACT,2020-09-21,122,91328,0,225,0,0,390,453
NSW,2020-09-21,4504,2592448,2,7765,4,6,14613,18164
NT,2020-09-21,33,44062,0,420,0,0,417,402
QLD,2020-09-21,1172,1043334,0,2708,1,2,5993,6898
SA,2020-09-21,505,429847,0,1983,0,0,2947,3115
TAS,2020-09-21,266,103981,0,375,0,0,517,516
VIC,2020-09-21,20391,2608378,25,7164,24,33,12130,12802
WA,2020-09-21,739,462467,3,2796,1,1,2699,3226
ACT,2020-09-22,122,91922,0,594,0,0,397,468
NSW,2020-09-22,4510,2600064,6,7616,4,6,14439,17815
NT,2020-09-22,33,44344,0,282,0,0,414,394
QLD,2020-09-22,1172,1048232,0,4898,1,1,5988,6701
SA,2020-09-22,505,431987,0,2140,0,0,2873,3018
TAS,2020-09-22,266,104454,0,473,0,0,509,510
VIC,2020-09-22,20415,2619501,24,11123,22,29,12462,12975
WA,2020-09-22,739,466936,0,4469,1,1,2907,3312
ACT,2020-09-23,122,92598,0,676,0,0,444,458
NSW,2020-09-23,4511,2616823,1,16759,3,5,14038,17523
NT,2020-09-23,33,44906,0,562,0,0,428,412
QLD,2020-09-23,1172,1053111,0,4879,0,1,5768,6187
SA,2020-09-23,507,432541,2,554,0,0,2484,2738
TAS,2020-09-23,266,105114,0,660,0,0,515,512
VIC,2020-09-23,20420,2635242,5,15741,19,26,12657,12908
WA,2020-09-23,739,469515,0,2579,1,0,2895,3276
ACT,2020-09-24,122,93175,0,577,0,0,468,447
NSW,2020-09-24,4515,2634215,4,17392,3,5,13607,16997
NT,2020-09-24,33,45445,0,539,0,0,391,414
QLD,2020-09-24,1172,1060389,0,7278,0,1,5144,5983
SA,2020-09-24,507,438297,0,5756,0,0,2797,2868
TAS,2020-09-24,266,105808,0,694,0,0,522,525
VIC,2020-09-24,20433,2648579,13,13337,15,25,12527,12803
WA,2020-09-24,742,471576,3,2061,1,1,2813,3087
ACT,2020-09-25,122,93607,0,432,0,0,463,437
NSW,2020-09-25,4516,2647901,1,13686,3,4,13156,14407
NT,2020-09-25,33,45821,0,376,0,0,413,413
QLD,2020-09-25,1175,1065413,3,5024,1,0,5040,5683
SA,2020-09-25,507,441342,0,3045,0,0,2754,2852
TAS,2020-09-25,266,106409,0,601,0,0,551,523
VIC,2020-09-25,20445,2661039,12,12460,14,24,12034,12740
WA,2020-09-25,745,474440,3,2864,2,1,2866,3194
ACT,2020-09-26,122,94011,0,404,0,0,458,425
NSW,2020-09-26,4516,2660159,0,12258,3,4,12730,13839
NT,2020-09-26,33,46197,0,376,0,0,400,400
QLD,2020-09-26,1176,1070472,1,5059,1,1,4792,5497
SA,2020-09-26,507,444596,0,3254,0,0,2737,2805
TAS,2020-09-26,266,106736,0,327,0,0,487,502
VIC,2020-09-26,20460,2677066,15,16027,15,22,12616,12852
WA,2020-09-26,753,477304,8,2864,3,2,2895,3165
ACT,2020-09-27,122,94294,0,283,0,0,456,424
NSW,2020-09-27,4516,2672392,0,12233,2,3,12530,13682
NT,2020-09-27,33,46362,0,165,0,0,389,395
QLD,2020-09-27,1176,1073512,0,3040,1,1,4698,5362
SA,2020-09-27,507,446563,0,1967,0,0,2671,2771
TAS,2020-09-27,266,107071,0,335,0,0,495,511
VIC,2020-09-27,20464,2687746,4,10680,14,20,12362,12373
WA,2020-09-27,753,481393,0,4089,2,2,3103,3224
ACT,2020-09-28,122,94560,0,266,0,0,462,426
NSW,2020-09-28,4518,2678745,2,6353,2,3,12328,13471
NT,2020-09-28,33,46647,0,285,0,0,369,393
QLD,2020-09-28,1176,1075383,0,1871,1,1,4578,5286
SA,2020-09-28,507,447822,0,1259,0,0,2568,2757
TAS,2020-09-28,266,107329,0,258,0,0,478,498
VIC,2020-09-28,20473,2694553,9,6807,12,18,12311,12220
WA,2020-09-28,753,485482,0,4089,2,2,3288,2993
ACT,2020-09-29,122,94951,0,391,0,0,433,415
NSW,2020-09-29,4522,2685126,4,6381,2,3,12152,13296
NT,2020-09-29,33,47097,0,450,0,0,393,404
QLD,2020-09-29,1176,1079751,0,4368,1,1,4503,5246
SA,2020-09-29,507,450457,0,2635,0,0,2639,2756
TAS,2020-09-29,266,107613,0,284,0,0,451,480
VIC,2020-09-29,20484,2702779,11,8226,10,16,11897,12179
WA,2020-09-29,761,488757,8,3275,3,2,3117,3012
ACT,2020-09-30,122,95431,0,480,0,0,405,424
NSW,2020-09-30,4525,2698701,3,13575,2,3,11697,12868
NT,2020-09-30,33,47411,0,314,0,0,358,393
QLD,2020-09-30,1176,1086540,0,6789,1,0,4776,5272
SA,2020-09-30,507,453507,0,3050,0,0,2995,2740
TAS,2020-09-30,266,108212,0,599,0,0,443,479
VIC,2020-09-30,20498,2720716,14,17937,11,15,12211,12434
WA,2020-09-30,762,494084,1,5327,3,2,3510,3203
ACT,2020-10-01,122,95888,0,457,0,0,388,428
NSW,2020-10-01,4529,2711773,4,13072,2,2,11080,12343
NT,2020-10-01,33,47949,0,538,0,0,358,374
QLD,2020-10-01,1179,1092298,3,5758,1,1,4558,4851
SA,2020-10-01,507,456497,0,2990,0,0,2600,2698
TAS,2020-10-01,266,108847,0,635,0,0,434,478
VIC,2020-10-01,20504,2735425,6,14709,10,13,12407,12467
WA,2020-10-01,762,498173,0,4089,3,2,3800,3306
ACT,2020-10-02,122,96371,0,483,0,0,395,429
NSW,2020-10-02,4530,2723116,1,11343,2,2,10745,11950
NT,2020-10-02,33,48329,0,380,0,0,358,386
QLD,2020-10-02,1179,1097554,0,5256,1,1,4592,4816
SA,2020-10-02,509,459757,2,3260,0,0,2631,2692
TAS,2020-10-02,266,109441,0,594,0,0,433,492
VIC,2020-10-02,20512,2747975,8,12550,10,12,12419,12227
WA,2020-10-02,763,501236,1,3063,3,2,3828,3347
ACT,2020-10-03,122,96709,0,338,0,0,385,422
NSW,2020-10-03,4532,2733450,2,10334,2,2,10470,11600
NT,2020-10-03,33,48734,0,405,0,0,362,381
QLD,2020-10-03,1179,1102221,0,4667,0,1,4536,4664
SA,2020-10-03,509,462352,0,2595,0,0,2537,2637
TAS,2020-10-03,266,109974,0,533,0,0,463,475
VIC,2020-10-03,20524,2759256,12,11281,9,12,11741,12179
WA,2020-10-03,763,504299,0,3063,1,2,3856,3376
ACT,2020-10-04,122,96962,0,253,0,0,381,418
NSW,2020-10-04,4533,2741755,1,8305,2,2,9909,11219
NT,2020-10-04,33,48884,0,150,0,0,360,374
QLD,2020-10-04,1179,1104982,0,2761,0,0,4496,4597
SA,2020-10-04,510,464744,1,2392,0,0,2597,2634
TAS,2020-10-04,266,110307,0,333,0,0,462,479
VIC,2020-10-04,20535,2771250,11,11994,10,12,11929,12145
WA,2020-10-04,763,507362,0,3063,1,2,3710,3406
